region,state_abb,id,year,avg_temp,temp_hist,temp_hist_sd,temp_sd,precip,precip_hist,precip_hist_sd,precip_sd,outcome
Northeast,DE,101,1974,27.1,26.663333333333334,3.072139863265871,4.1185978646143715,3.235,3.0010000000000003,0.8254514793092687,0.9641827378648995,Early Spring
Northeast,DE,101,1975,27.549999999999997,26.796666666666667,2.613007654397088,4.1185978646143715,3.295,3.005666666666667,0.7661137626074572,0.9641827378648995,Early Spring
Northeast,DE,101,1976,32,27.023333333333333,2.943266011190124,4.1185978646143715,3.0700000000000003,2.9863333333333335,0.7586897067485331,0.9641827378648995,Early Spring
Northeast,DE,101,1977,30.799999999999997,27.32666666666666,3.134876778514921,4.1185978646143715,3.525,3.0423333333333336,0.801595309071347,0.9641827378648995,Early Spring
Northeast,DE,101,1978,22.2,27.163333333333334,3.249319741705383,4.1185978646143715,2.055,2.9859999999999998,0.8487985084291985,0.9641827378648995,Late Winter
Northeast,DE,101,1979,25.45,27.02,3.665454043209561,4.1185978646143715,3.0700000000000003,2.999333333333333,0.843614946429212,0.9641827378648995,Early Spring
Northeast,DE,101,1980,25.5,26.976666666666667,3.6560008858159647,4.1185978646143715,2.99,3.0313333333333325,0.91553677147034,0.9641827378648995,Late Winter
Northeast,DE,101,1981,31.6,27.17333333333333,3.9616637087721807,4.1185978646143715,3.225,3.057333333333333,1.0873394875906865,0.9641827378648995,Early Spring
Northeast,DE,101,1982,27.2,27.409999999999997,3.850106318167682,4.1185978646143715,2.7750000000000004,3.059333333333333,1.0915446096601773,0.9641827378648995,Early Spring
Northeast,DE,101,1983,30.950000000000003,27.7,3.8699343405232782,4.1185978646143715,3.6450000000000005,3.1416666666666666,1.08107552725736,0.9641827378648995,Early Spring
Northeast,DE,101,1984,28.9,27.833333333333332,4.289607109617944,4.1185978646143715,3.9850000000000003,3.2536666666666667,1.0681239497535986,0.9641827378648995,Early Spring
Northeast,DE,101,1985,29.65,28.066666666666663,4.272283387899585,4.1185978646143715,2.73,3.2253333333333334,1.0670246111581028,0.9641827378648995,Early Spring
Northeast,DE,101,1986,28.5,28.17333333333334,4.2397520697452125,4.1185978646143715,2.875,3.162,1.0210000595207545,0.9641827378648995,Early Spring
Northeast,DE,101,1987,28.65,28.436666666666667,4.1497273497866924,4.1185978646143715,1.63,2.996,1.0594275254460226,0.9641827378648995,Early Spring
